yyyymm,month,item,exp_usd,exp_musd,mom_pct,yoy_pct
202606,2026-06,휴대폰,nan,nan,0.0,nan
202606,2026-06,반도체,nan,nan,0.0,nan
202606,2026-06,디스플레이,nan,nan,0.0,nan
202605,2026-05,휴대폰,495638867.0,495.638867,nan,nan
202605,2026-05,반도체,29751370350.0,29751.37035,nan,nan
202605,2026-05,디스플레이,1300662844.0,1300.662844,nan,nan
202604,2026-04,디스플레이,1140661055.0,1140.661055,-6.434295336565432,-4.378307577633711
202604,2026-04,반도체,25546961597.0,25546.961597,1.3631565249818012,152.96531813490094
202604,2026-04,휴대폰,565756969.0,565.756969,-3.0804524401946365,32.225297277194365
202603,2026-03,휴대폰,583738764.0,583.738764,10.79068102295555,169.3301441446689
202603,2026-03,디스플레이,1219101656.0,1219.101656,10.587192903973364,-8.874008950599299
202603,2026-03,반도체,25203399808.0,25203.399808,27.642872711182864,134.75057646833855
202602,2026-02,휴대폰,526884354.0,526.884354,-38.66168547664246,129.75745090784753
202602,2026-02,디스플레이,1102389548.0,1102.389548,-8.980421170227581,-2.5886352458700412
202602,2026-02,반도체,19745246462.0,19745.246462,18.010892692344903,135.55710432845927
202601,2026-01,디스플레이,1211156503.0,1211.156503,-9.524917327739912,24.64889784958748
202601,2026-01,반도체,16731715193.0,16731.715193,-1.821798514253814,95.65157262232584
202601,2026-01,휴대폰,858980815.0,858.980815,100.02963881369027,412.39152022127314
202512,2025-12,반도체,17042189549.0,17042.189549,18.715065991770242,42.49364683376604
202512,2025-12,디스플레이,1338663052.0,1338.663052,1.9136423497202015,-0.830058063066319
202512,2025-12,휴대폰,429426769.0,429.426769,5.699955897756581,175.32749346735835
202511,2025-11,디스플레이,1313526846.0,1313.526846,-3.2589298448149506,-2.750751063883927
202511,2025-11,반도체,14355540644.0,14355.540644,6.624005944943501,33.76674706395799
202511,2025-11,휴대폰,406269582.0,406.269582,2.7501956433821695,-3.2854946575315958
202510,2025-10,반도체,13463704085.0,13463.704085,-3.3639701844667025,20.447456075746008
202510,2025-10,디스플레이,1357775807.0,1357.775807,-15.037463351853742,-8.138262272774488
202510,2025-10,휴대폰,395395434.0,395.395434,-6.5967794944141955,4.8913772384403975
202509,2025-09,디스플레이,1598087652.0,1598.087652,5.093440943710581,-0.18729183399524008
202509,2025-09,휴대폰,423320986.0,423.320986,25.15154315599757,55.535162872110355
202509,2025-09,반도체,13932385375.0,13932.385375,8.24268589716739,19.831880334765795
202508,2025-08,디스플레이,1520635006.0,1520.635006,5.133193350572762,-9.030698551966998
202508,2025-08,휴대폰,338246717.0,338.246717,26.04120059848707,4.575020536862917
202508,2025-08,반도체,12871433538.0,12871.433538,2.4544676673911248,23.26844731758606
202507,2025-07,반도체,12563076878.0,12563.076878,0.37329499603464544,24.864523000485427
202507,2025-07,디스플레이,1446389059.0,1446.389059,43.61252598999044,-8.059235759398087
202507,2025-07,휴대폰,268362024.0,268.362024,17.733282708462085,32.172003494621904
202506,2025-06,반도체,12516353955.0,12516.353955,5.515111828384778,8.600765996235271
202506,2025-06,디스플레이,1007146869.0,1007.146869,-17.485932639117298,-38.06748329924217
202506,2025-06,휴대폰,227940662.0,227.940662,-46.210518684935245,14.167138020877278
202505,2025-05,디스플레이,1220575959.0,1220.575959,2.320964161990058,-18.401684313862244
202505,2025-05,반도체,11862143477.0,11862.143477,17.45862172406134,17.37364618321593
202505,2025-05,휴대폰,423764380.0,423.76438,-0.9603518980497827,30.01335301508652
202504,2025-04,디스플레이,1192889423.0,1192.889423,-10.833333423654413,-7.515168581076237
202504,2025-04,휴대폰,427873471.0,427.873471,97.41574609581659,61.10777533621463
202504,2025-04,반도체,10098997675.0,10098.997675,-5.935487116061832,13.07152526152835
202503,2025-03,휴대폰,216737256.0,216.737256,-5.487799974941787,-8.731012081288325
202503,2025-03,반도체,10736246184.0,10736.246184,28.08141277585996,8.629570135565556
202503,2025-03,디스플레이,1337819915.0,1337.819915,18.21489413777002,3.303147580591581
202502,2025-02,휴대폰,229321988.0,229.321988,36.793092464451085,-13.871474458599097
202502,2025-02,디스플레이,1131684738.0,1131.684738,16.46988226169741,-6.983148963467323
202502,2025-02,반도체,8382360837.0,8382.360837,-1.981233774946345,-6.278765295904498
202501,2025-01,디스플레이,971654402.0,971.654402,-28.018547695670616,-16.018798445385485
202501,2025-01,반도체,8551791825.0,8551.791825,-28.49651151902949,-0.3456338532045411
202501,2025-01,휴대폰,167641497.0,167.641497,7.48354900559467,-41.41926415956495
202412,2024-12,디스플레이,1349867738.0,1349.867738,-0.060189798668253136,-3.7043043782241436
202412,2024-12,휴대폰,155969447.0,155.969447,-62.870693294622924,-0.14807675948073085
202412,2024-12,반도체,11959964481.0,11959.964481,11.444464774826546,28.679581487905303
202411,2024-11,휴대폰,420070992.0,420.070992,11.437363965103042,29.192398532453833
202411,2024-11,반도체,10731770757.0,10731.770757,-3.9926547175941574,26.585196655763955
202411,2024-11,디스플레이,1350680710.0,1350.68071,-8.618288457070179,-23.975160266120998
202410,2024-10,휴대폰,376957043.0,376.957043,38.500279971459086,46.9077091531906
202410,2024-10,반도체,11178072600.0,11178.0726,-3.8578518951910445,37.69740015955358
202410,2024-10,디스플레이,1478064579.0,1478.064579,-7.683644079470254,-24.81200720048524
202409,2024-09,반도체,11626609994.0,11626.609994,11.346895223156505,33.198483058764026
202409,2024-09,디스플레이,1601086356.0,1601.086356,-4.217838739339996,-4.139074957887767
202409,2024-09,휴대폰,272170600.0,272.1706,-15.853592499080182,1.3410956636126459
202408,2024-08,디스플레이,1671591385.0,1671.591385,6.2559125973769,-6.0145622887450845
202408,2024-08,휴대폰,323448865.0,323.448865,59.3030335585466,98.58914762893365
202408,2024-08,반도체,10441790919.0,10441.790919,3.781044646388998,30.168599785745577
202407,2024-07,디스플레이,1573174936.0,1573.174936,-3.260700106457237,1.9275441277540883
202407,2024-07,휴대폰,203039991.0,203.039991,1.6953029479868764,-10.3509229033798
202407,2024-07,반도체,10061366172.0,10061.366172,-12.700449573710593,45.67534862390594
202406,2024-06,디스플레이,1626200456.0,1626.200456,8.715248075461378,28.945162121362067
202406,2024-06,휴대폰,199655230.0,199.65523,-38.744625257794695,-17.269420396413505
202406,2024-06,반도체,11525106513.0,11525.106513,14.038729737473709,41.19713982293738
202405,2024-05,디스플레이,1495834747.0,1495.834747,15.972211455230156,16.18985883887698
202405,2024-05,휴대폰,325939121.0,325.939121,22.726296997626385,2.235716142185784
202405,2024-05,반도체,10106309093.0,10106.309093,13.153386176016024,44.678333408195805
202404,2024-04,반도체,8931512732.0,8931.512732,-9.63076180356236,47.288363354247394
202404,2024-04,디스플레이,1289821698.0,1289.821698,-0.4031561145184215,15.8966532585594
202404,2024-04,휴대폰,265582136.0,265.582136,11.837776344320062,-18.190633106749267
202403,2024-03,휴대폰,237470866.0,237.470866,-10.810926915479246,-7.704010675000628
202403,2024-03,반도체,9883355122.0,9883.355122,10.503504092099769,26.847480461894534
202403,2024-03,디스플레이,1295042742.0,1295.042742,6.443776940426327,19.282183731186198
202402,2024-02,반도체,8943929157.0,8943.929157,4.223957884133545,57.355367023054086
202402,2024-02,디스플레이,1216644861.0,1216.644861,5.156007199385848,22.180537470322115
202402,2024-02,휴대폰,266255560.0,266.25556,-6.959512378924271,57.47829525678361
202401,2024-01,반도체,8581452229.0,8581.452229,-7.670488224239058,48.513668352218886
202401,2024-01,휴대폰,286171716.0,286.171716,83.20765232718739,-9.265897886221042
202401,2024-01,디스플레이,1156990355.0,1156.990355,-17.46362408254667,-0.5852908918658306
202312,2023-12,휴대폰,156200744.0,156.200744,-51.96062295605073,94.3522137812408
202312,2023-12,반도체,9294376266.0,9294.376266,9.630598161711635,14.220213388506387
202312,2023-12,디스플레이,1401794472.0,1401.794472,-21.098154963923687,12.10056002079618
202311,2023-11,반도체,8477903452.0,8477.903452,4.43529094131172,4.515648798026106
202311,2023-11,휴대폰,325151477.0,325.151477,26.718042548541376,15.8572893246671
